Original Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Ang aso ay tumatakbo sa park,Ang aso ay umaakma sa park,[],"[{'token': 'DTC', 'suggestions': ['KEEP_DTC_DTC', 'KEEP_DTC_DTC'], 'distances': [0, 0]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [0, 0, 0]}, {'token': 'LM', 'suggestions': ['KEEP_LM_LM', 'KEEP_LM_LM', 'KEEP_LM_LM'], 'distances': [0, 0, 0]}, {'token': 'VBTR_VBAF', 'suggestions': ['SUBSTITUTE_VBTR_VBAF_VBTR', 'SUBSTITUTE_VBTR_VBAF_VBTR', 'SUBSTITUTE_VBTR_VBAF_VBTR'], 'distances': [0, 0, 0]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [0, 0, 0]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [0, 0]}]"
Si Maria ay kumakain mansanas,Si maia ay kumakain mansanas,['Maria'],"{'Maria': ['aria', 'mafia', 'maia', 'mara', 'mari']}"
Naglalaro ang bata sa labas,Naglalaro ang bata sa labas,[],"[{'token': 'VBTR', 'suggestions': ['KEEP_VBTR_VBTR'], 'distances': [0]}, {'token': 'DTC', 'suggestions': ['KEEP_DTC_DTC'], 'distances': [0]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC'], 'distances': [0]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT'], 'distances': [0]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC'], 'distances': [0]}]"
Magandang umaga po sa inyong lahat,umaga sa inyong,[],"[{'token': 'JJD_CCP', 'suggestions': ['DELETE_JJD_CCP', 'DELETE_JJD_CCP'], 'distances': [2.2, 3.4000000000000004]}, {'token': 'RBW', 'suggestions': ['KEEP_RBW_RBW', 'KEEP_RBW_RBW', 'KEEP_RBW_RBW'], 'distances': [2.2, 2.4, 3.4000000000000004]}, {'token': 'RBS', 'suggestions': ['DELETE_RBS', 'DELETE_RBS', 'DELETE_RBS'], 'distances': [2.2, 2.4, 3.4000000000000004]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [2.2, 2.4, 3.4000000000000004]}, {'token': 'PRSP_CCP', 'suggestions': ['KEEP_PRSP_CCP_PRSP_CCP', 'KEEP_PRSP_CCP_PRSP_CCP', 'KEEP_PRSP_CCP_PRSP_CCP'], 'distances': [2.2, 2.4, 3.4000000000000004]}, {'token': 'PRI', 'suggestions': ['DELETE_PRI', 'DELETE_PRI'], 'distances': [2.4, 3.4000000000000004]}]"
Siya ay nag aaral ng mabuti,Siya ay nag ng mabuti,[],"[{'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'DELETE_PRS'], 'distances': [1.2, 2.2]}, {'token': 'LM', 'suggestions': ['KEEP_LM_LM', 'KEEP_LM_LM', 'KEEP_LM_LM'], 'distances': [1.2, 1.2, 2.2]}, {'token': 'VBTS', 'suggestions': ['KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS'], 'distances': [1.2, 1.2, 2.2]}, {'token': 'FW', 'suggestions': ['DELETE_FW', 'DELETE_FW', 'DELETE_FW'], 'distances': [1.2, 1.2, 2.2]}, {'token': 'CCB', 'suggestions': ['KEEP_CCB_CCB', 'KEEP_CCB_CCB', 'KEEP_CCB_CCB'], 'distances': [1.2, 1.2, 2.2]}, {'token': 'JJD', 'suggestions': ['KEEP_JJD_JJD', 'KEEP_JJD_JJD'], 'distances': [1.2, 2.2]}]"
Mahal kita,Mahal kita,[],"[{'token': 'NNP', 'suggestions': [], 'distances': []}, {'token': 'NNC', 'suggestions': [], 'distances': []}]"
Uulan ngayong araw,Uulan ngayong araw,[],"[{'token': 'VBTF', 'suggestions': ['KEEP_VBTF_VBTF'], 'distances': [0]}, {'token': 'RBW_CCP', 'suggestions': ['KEEP_RBW_CCP_RBW_CCP'], 'distances': [0]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC'], 'distances': [0]}]"
May malaking bahay sa tabi ng dagat,May malaking bahay sa tabi ng dagat,[],"[{'token': 'VBH', 'suggestions': ['KEEP_VBH_VBH', 'KEEP_VBH_VBH', 'DELETE_VBH'], 'distances': [0, 0, 1]}, {'token': 'JJD_CCP', 'suggestions': ['KEEP_JJD_CCP_JJD_CCP', 'KEEP_JJD_CCP_JJD_CCP', 'KEEP_JJD_CCP_JJD_CCP', 'KEEP_JJD_CCP_JJD_CCP', 'KEEP_JJD_CCP_JJD_CCP'], 'distances': [0, 0, 0, 0, 1]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [0, 0, 1, 0, 0, 1]}, {'token': 'CCT', 'suggestions': ['KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT', 'KEEP_CCT_CCT'], 'distances': [0, 0, 1, 0, 0, 1]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [0, 0, 1, 0, 0, 1]}, {'token': 'CCB', 'suggestions': ['KEEP_CCB_CCB', 'KEEP_CCB_CCB', 'KEEP_CCB_CCB', 'KEEP_CCB_CCB', 'KEEP_CCB_CCB'], 'distances': [0, 1, 0, 0, 1]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC', 'KEEP_NNC_NNC', 'KEEP_NNC_NNC'], 'distances': [1, 0, 1]}]"
Huwag kang mag alala,kang mag alala,[],"[{'token': 'RBF', 'suggestions': ['DELETE_RBF'], 'distances': [1]}, {'token': 'PRS_CCP', 'suggestions': ['KEEP_PRS_CCP_PRS_CCP'], 'distances': [1]}, {'token': 'VBW', 'suggestions': ['KEEP_VBW_VBW'], 'distances': [1]}, {'token': 'NNC', 'suggestions': ['KEEP_NNC_NNC'], 'distances': [1]}]"
Masaya ako na makita ka,akala akong makita,[],"[{'token': 'NNP', 'suggestions': ['SUBSTITUTE_NNP_VBS'], 'distances': [3.4000000000000004]}, {'token': 'PRS_CCP', 'suggestions': ['KEEP_PRS_CCP_PRS_CCP'], 'distances': [3.4000000000000004]}, {'token': 'VBW', 'suggestions': ['KEEP_VBW_VBW'], 'distances': [3.4000000000000004]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS'], 'distances': [3.4000000000000004]}]"
