Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Ibang iba siya rito kung ikumpara sa hosting niya sa Amazing Earth na infotainment at kailangang accurate lahat ang mga sinasabi dahil nagbibigay siya nang tamang impormasyon sa mga manonood.,Ibang-iba siya rito kung ikumpara sa hosting niya sa Amazing Earth na infotainment at kailangang accurate lahat ang mga sinasabi dahil nagbibigay siya nang tamang impormasyon sa mga manonood.,Ibang iba siya rito kung ikumpara sa bisting niya sa amaking Earth na edutainment at kailangang accurate lahat ang mga sinasabi dahil nagbibigay siya nang tamang impormasyon sa mga manonood.,"['hosting', 'Amazing', 'infotainment']","{'hosting': ['costing', 'ghosting', 'bisting', 'boosting', 'busting'], 'Amazing': ['amaging', 'amaing', 'amaking', 'aaing', 'aaling'], 'infotainment': ['attainment', 'containment', 'edutainment', 'entertainment', 'installment']}"
Inaasahang nilabas na ng Letran ang buong puwersa nito para maisakatuparan ang inaasam na three-peat at ika-20 kabuuang korona sa liga.,Inaasahang ilalabas na ng Letran ang buong puwersa nito para maisakatuparan ang inaasam na three-peat at ika-20 kabuuang korona sa liga.,Inaasahang nilabas na ng beteran ang buong puwersa nito para maisakatuparan ang inaasam na three-heat at ika-ag kabuuang korona sa liga.,"['Letran', 'peat', '20']","{'Letran': ['letra', 'letrang', 'beteran', 'lataan', 'latian'], 'peat': ['beat', 'eat', 'heat', 'meat', 'pat'], '20': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Malungkot si Knott dahil hindi nito madedepensahan ang kanyang korona sa womens 200m dash na napanalunan napanalunan niya noong 2019 Manila SEA Games.,Malungkot si Knott dahil hindi nito madedepensahan ang kanyang korona sa womens 200m dash na napanalunan niya noong 2019 Manila SEA Games.,Malungkot si anot dahil hindi nito dinedepensahan ang kanyang korona sa womens alam dash na napanalunan napanalunan niya noong aako Manila SEA Games.,"['Knott', 'maredepensahan', '200m', '2019']","{'Knott': ['knot', 'knots', 'anot', 'inot', 'kaot'], 'maredepensahan': ['madepensahan', 'dedepensahan', 'dinedepensahan', 'depensahan', 'marekomendahan'], '200m': ['aam', 'agam', 'alam', 'am', 'anim'], '2019': ['aaba', 'aag', 'aako', 'aal', 'aala']}"
"Samantala, ibinasura rin ng piskalya ang kasong perjury laban kina Galido, Dela Serna, Rapinan, Chen at Louis De Lima.","Samantala, ibinasura din ng piskalya ang kasong perjury laban kina Galido, Dela Serna, Rapinan, Chen at Louis De Lima.","Samantala, ibinasura din ng piskalya ang kasong perjury laban kina asido, Dela sierna, aapinang, chin at hours De Lima.","['Galido', 'Serna', 'Rapinan', 'Chen', 'Louis']","{'Galido': ['balido', 'apido', 'asido', 'balino', 'galing'], 'Serna': ['derna', 'sera', 'sierna', 'bena', 'bersa'], 'Rapinan': ['sapinan', 'aapina', 'aapinang', 'aasinan', 'apihan'], 'Chen': ['che', 'chef', 'chin', 'shen', 'then'], 'Louis': ['clouds', 'dosis', 'hours', 'labis', 'lagis']}"
"Ayon kay Major Gen. Alex Rillera, commander nang 6th Infantry Division, nagsuko muna ng ibat ibang armas ang pitong mga BIFF members bago nanumpang igagalang na ang pamahalaan sa isang simpleng seremonyang ginanap sa battalion headquarters ng 6thID sa Brgy.","Ayon kay Major Gen. Alex Rillera, commander ng 6th Infantry Division, nagsuko muna ng ibat ibang armas ang pitong mga BIFF members bago nanumpang igagalang na ang pamahalaan sa isang simpleng seremonyang ginanap sa battalion headquarters ng 6thID sa Brgy.","Ayon kay Major Gen. Alex hilera, commander nang at Infantry Division, nagsuko muna ng ibat ibang armas ang pitong mga bia members bago nanumpang igagalang na ang pamahalaan sa isang simpleng seremonyang ginanap sa battalion headquarters ng lahid sa Brgy.","['Rillera', '6th', 'BIFF', '6thID']","{'Rillera': ['billers', 'fillers', 'hilera', 'killer', 'killers'], '6th': ['ah', 'ash', 'at', 'ata', 'ate'], 'BIFF': ['beef', 'bi', 'bia', 'biak', 'bias'], '6thID': ['bahid', 'ethic', 'lahid', 'pahid', 'tahid']}"
"Lagi kong katuwiran, basta gusto kong gawin at wala akong nasagasaang tao, ginagawa ko dahil gusto ko.","Lagi kong katuwiran, basta gusto kong gawin at wala akong nasagasaang tao, gagawin ko dahil gusto ko.","Lagi kong katuwiran, basta gusto kong gawin at wala akong nasagasaang tao, ginagawa ko dahil gusto ko.",[],{}
Kasalukuyang lumaban si Donaire sa bantamweight division.,Kasalukuyang lumalaban si Donaire sa bantamweight division.,Kasalukuyang lumaban si bonafide sa bantamweight division.,['Donaire'],"{'Donaire': ['donate', 'naire', 'bonafide', 'cocaine', 'confine']}"
"Pero dahil na din sa kakapusan sa pinansiyal ng pamilya ng biktima, hindi na sila magsasampa ng reklamo laban sa rider basta sagutin nito ang lahat ng gastusin sa pagpapalibing kay Pastoral.","Pero dahil na rin sa kakapusan sa pinansiyal ng pamilya ng biktima, hindi na sila magsasampa ng reklamo laban sa rider basta sagutin nito ang lahat ng gastusin sa pagpapalibing kay Pastoral.","Pero dahil na rin sa kakapusan sa pinansiyal ng pamilya ng biktima, hindi na sila magsasampa ng reklamo laban sa rider basta sagutin nito ang lahat ng gastusin sa pagpapalibing kay Pastoral.",[],{}
"Samantala, bahagi naman ng PMA ??Makatao? Class of 1989 ang bagong pupunuin ng kapulisan na si Azurin, ang kasalukuyang regional director ng Police Regional Office 1.","Samantala, bahagi naman ng PMA ??Makatao? Class of 1989 ang bagong pinuno ng kapulisan na si Azurin, ang kasalukuyang regional director ng Police Regional Office 1.","Samantala, bahagi naman ng ma ??Makatao? Class of aako ang bagong pupunuin ng kapulisan na si Azurin, ang kasalukuyang regional director ng Police Regional Office d.","['PMA', '1989', '1']","{'PMA': ['ama', 'ima', 'ma', 'pa', 'paa'], '1989': ['aaba', 'aag', 'aako', 'aal', 'aala'], '1': ['b', 'c', 'd', 'e', 'f']}"
Nagkaroon rin ang Star Magic ng pinakaunang online workshop para sa mga kalahok sa Canada sa pakikipagtulungan ng AMP Studios Canada?? ang artist training arm at production company na nabuo noong taong 2019 sa Ontario Canada.,Nagkaroon din ang Star Magic ng pinakaunang online workshop para sa mga kalahok sa Canada sa pakikipagtulungan ng AMP Studios Canada?? ang artist training arm at production company na nabuo noong taong 2019 sa Ontario Canada.,Nagkaroon din ang Star Magic ng pinakaunang online workshop para sa mga kalahok sa Canada sa pakikipagtulungan ng amd Studios Canada?? ang artist training arm at production company na nabuo noong taong aako sa antonio Canada.,"['AMP', '2019', 'Ontario']","{'AMP': ['am', 'ama', 'amd', 'amg', 'ami'], '2019': ['aaba', 'aag', 'aako', 'aal', 'aala'], 'Ontario': ['antayin', 'anterior', 'antonio', 'ataro', 'bintarin']}"
