Original Sentence,Gold Sentence,Correction,Correct or Incorrect
"Dahil dito kayat makikipag ugnayan ang PCO sa pribadong sektor, kabilang ang stakeholders sa broacast industry, para makapagtatag ng epektibong mekanismo laban sa fake news.","Dahil dito kayat makikipag-ugnayan ang PCO sa pribadong sektor, kabilang ang stakeholders sa broacast industry, para makapagtatag ng epektibong mekanismo laban sa fake news.",merge_hyphen,Incorrect
Karamihan rin sa mga namatay ay mula sa timog-silangang Asya at sa kanlurang Pasipiko.,Karamihan din sa mga namatay ay mula sa timog-silangang Asya at sa kanlurang Pasipiko.,replace_din,Incorrect
"Sa kabila nito, naninindigan si De Guzman na hindi pantay ang MDT, VFA at EDCA sa Pilipinas at nagbigay ng maraming kaluwagan sa Amerika dahilan para makapanatili ng impluwensyang militar nito sa bansa.","Sa kabila nito, naninindigan si De Guzman na hindi pantay ang MDT, VFA at EDCA sa Pilipinas at nagbibigay ng maraming kaluwagan sa Amerika dahilan para makapanatili ng impluwensyang militar nito sa bansa.",transform_verb_incact,Incorrect
"Sa hiwalay na post, sinabi rin ng guro na bukod sa lessons sa loob ng silid-aralan, na is din niyang turuan ng life lessons ang mga estudyante.","Sa hiwalay na post, sinabi rin ng guro na bukod sa lessons sa loob ng silid-aralan, nais din niyang turuan ng life lessons ang mga estudyante.",merge_space,Incorrect
Patuloy na makikipag-kilala ang suspek na napuruhan ng punglo sa ibat ibang bahagi ng katawan at kasalukuyang nakalagak sa punerarya sa lungsod.,Patuloy na kinikilala ang suspek na napuruhan ng punglo sa ibat ibang bahagi ng katawan at kasalukuyang nakalagak sa punerarya sa lungsod.,transform_verb_incobj,Incorrect
"Sasampahan ng kasong qualified theft ang suspek, ayon sa-pulisya.","Sasampahan ng kasong qualified theft ang suspek, ayon sa pulisya.",transform_split_hyphen,Incorrect
"Nagsasagawa na ng inventory sa mga imported na items, ngunit sinabi ni Enciso na ang importer ng mga ito ay posibleng maharap sa kasong paglabag sa Section 1400 ng Republic Act 10863 o mas kilala sa Customs Modernization and Tariff Act!","Nagsasagawa na ng inventory sa mga imported na items, ngunit sinabi ni Enciso na ang importer ng mga ito ay posibleng maharap sa kasong paglabag sa Section 1400 ng Republic Act 10863 o mas kilala sa Customs Modernization and Tariff Act.",change_punc_period,Incorrect
"Amin din pong napag-alaman noong isang araw na meron daw pong instances na ang mga kababayan natin ay maki-kidnap at kinukuha raw yung mga organs sila para ito po ay maibigay roon sa mga nangangailangan, sabi ni Vergeire sa isang media forum kanina.","Amin din pong napag-alaman noong isang araw na meron daw pong instances na ang mga kababayan natin ay maki-kidnap at kinukuha raw yung mga organs nila para ito po ay maibigay roon sa mga nangangailangan, sabi ni Vergeire sa isang media forum kanina.",replace_nila,Incorrect
"At kung makukubinse nga siya ang mister na sa Pilipinas na sila tumira lalo na at gusto ng anak niya sa bansa dahil andito pala lahat ng mga laruan nito, mas magiging masaya siya.","At kung makukubinse nga niya ang mister na sa Pilipinas na sila tumira lalo na at gusto ng anak niya sa bansa dahil andito pala lahat ng mga laruan nito, mas magiging masaya siya.",replace_niya,Incorrect
"Aniya, binabawasan na ang medikasyon nito para sa blood pressure support at gaganda na rin ang kidney function.","Aniya, binabawasan na ang medikasyon nito para sa blood pressure support at gumaganda na rin ang kidney function.",transform_verb_incact,Incorrect
