Original Sentence,Gold Sentence
Kasalukuyang lumaban si Donaire sa bantamweight division,Kasalukuyang lumalaban si Donaire sa bantamweight division
Tapos sinabi KO sa kanya ‘Pakiramdam ko hindi mo ako naaappreciate’,Tapos sinabi ko sa kanya ‘Pakiramdam ko hindi mo ako naaappreciate’
Kadadalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon,Dumalaw rin ang grupo nila sa Philippine Consulate sa lugar na yon
Magpapatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG,Nagpatuloy ang palitan ng radio challenges ng PCG Cessna at ng barko ng CCG
Hanggang ngayon siya yung sumasama sa amin sa sa ocular sa kasal,Hanggang ngayon siya yung sumasama sa amin sa ocular sa kasal
Maging totoo man tayo ay hindi nangangahulugang mauunawaan tayo ng lahat,Maging totoo man tayo ay hindi nangangahulugang mauunawaan tayo ng lahat
Dumangas Iloilo sa kasong murder na walang inirekomendang piyansa para sa pansamantala nitong kalayaan,Dumangas Iloilo sa kasong murder na walang inirekomendang piyansa para sa pansamantala nitong kalayaan
Para naman sa hybrid rice plano aniya nilang magkaroon ng MASAGANA ,Para naman sa hybrid rice plano aniya nilang magkaroon ng Masagana 
Pati ang mga kapatid niya sagana rin sa gulay na inaani niya,Pati ang mga kapatid niya sagana rin sa gulay na inaani niya
Kaya din umano nito na ipasilidad ang kanilang birth certificates online kapalit ng P,Kaya rin umano nito na ipasilidad ang kanilang birth certificates online kapalit ng P
Naitakbo pa sa ospital ang suspek ngunit idineklara itong dead on arrival,Naitakbo pa sa ospital ang suspek ngunit idineklara itong dead on arrival
Sana huwag tayo magmadali ituloy pa din natin ang ating protocols,Sana huwag tayo magmadali ituloy pa rin natin ang ating protocols
Nung nagpaputok siya roon nagdecide yung mga witness na magreport sa barangay,Nung nagpaputok siya roon nagdecide yung mga witness na magreport sa barangay
Sabi ni Pauleen hindi naman daw sila pinipilit ang kanilang anak na magartista,Sabi ni Pauleen hindi naman daw nila pinipilit ang kanilang anak na magartista
Kasi choosy pa nga raw ito sa bibilhin ng kanyang vacation house sa Bataan,Kasi choosy pa nga raw ito sa bumibili ng kanyang vacation house sa Bataan
Ilang airbus na rin ang bumibiyahe dito para maraming pasahero ang makasakay,Ilang airbus na rin ang bumibiyahe rito para maraming pasahero ang makasakay
DALAWA na ang branch ng The Thrd Floor gym na pagaari ng aktor,Dalawa na ang branch ng The Thrd Floor gym na pagaari ng aktor
yun nga lang pagdating sa lovelife hindi ito kasama sa usapan,Yun nga lang pagdating sa lovelife hindi ito kasama sa usapan
Kaya naman sa kanyang post hindi niya raw kaaasa ang lahat ng ito,Kaya naman sa kanyang post hindi niya raw inasahan ang lahat ng ito
May mga nagsasabi namang namanalang niya ang husay ng biological dad niyang si Sen,May mga nagsasabi namang namana lang niya ang husay ng biological dad niyang si Sen
Subalit papaano naman kung ang problema ay ang sarado nating puso at isipan,Subalit papaano naman kung ang problema ay ang sarado nating puso at isipan
Nanghihingi siya ng reaksyon ng kaTroika kong si Noel Ferrer pero “hahaha”,Hiningan siya ng reaksyon ng kaTroika kong si Noel Ferrer pero “hahaha”
Ang BOQ ay para sa humans ang aso ay sa BAI,Ang BOQ ay para sa humans ang aso ay sa BAI
Aniya  episode ang inihanda niya sa shows na niya ang host,Aniya  episode ang inihanda niya sa shows na siya ang host
Isaisahin rin kaya ni Bossing ang mga nakarelasyon niya sa showbiz,Isaisahin din kaya ni Bossing ang mga nakarelasyon niya sa showbiz
Sana nung time na yun naisip din niya na naka live rin po kami,Sana nung time na yun naisip din niya na nakalive rin po kami
Wala pa din namang impormasyon kung magdedeklara ng days of mourning para kay Noynoy,Wala pa rin namang impormasyon kung magdedeklara ng days of mourning para kay Noynoy
Ngayon naman sinasakyan sila ang pagbibigay ng ayuda ng gobyerno sabi ni Villanueva,Ngayon naman sinasakyan nila ang pagbibigay ng ayuda ng gobyerno sabi ni Villanueva
Narekober sa crime scene ang isang  pulgadang kutsilyo na ginamit sa pagpatay sa ginang,Narekober sa crime scene ang isang  pulgadang kutsilyo na ginamit sa pagpatay sa ginang
Nagsasara na umano ng guwardiya ng simbahan nang makita niya ang paper bag,Isasara na umano ng guwardiya ng simbahan nang makita niya ang paper bag
Payag din ba siyang mag showbiz ang kanyang apo kung sakali,Payag din ba siyang magshowbiz ang kanyang apo kung sakali
Magtuloytuloy kaya ang tagumpay ng Blazer Panoorin ang video FRJ GMA Integrated News,Magtuloytuloy kaya ang tagumpay ng Blazer Panoorin ang video FRJ GMA Integrated News
Hinayaan na ni ni Princess na si Ryan ang magbuo ng kuwento,Hinayaan na ni Princess na si Ryan ang magbuo ng kuwento
Mismong ang boss pa pala pala nila ang nagpapaawaaway sa kanila,Mismong ang boss pa pala nila ang nagpapaawaaway sa kanila
Matalino kasi ang female personality Inglisera siya maganda niya at kakaiba ang kanyang kagandahan,Matalino kasi ang female personality Inglisera siya maganda siya at kakaiba ang kanyang kagandahan
Karamihan rin sa mga namatay ay mula sa timogsilangang Asya at sa kanlurang Pasipiko,Karamihan din sa mga namatay ay mula sa timogsilangang Asya at sa kanlurang Pasipiko
May mga sumusugal pa rin naman sa kanya pero siya ang nagtatamadtamaran,May mga sumusugal pa rin naman sa kanya pero siya ang nagtatamadtamaran
Talaga yata KUNG minsan ang dami mong papasukin at lalagpasan para mabuhay,Talaga yata kung minsan ang dami mong papasukin at lalagpasan para mabuhay
Pangalawa sasaya po ang inyong magulang kapag nakapagtapos kayo ng pagaaral ayon kay Sen,Pangalawa sasaya po ang inyong mga magulang kapag nakapagtapos kayo ng pagaaral ayon kay Sen
Sabi nga ni commissioner Willie Marcial kahapon nakakatanggap niya ng tawag mula sa fans,Sabi nga ni commissioner Willie Marcial kahapon nakakatanggap siya ng tawag mula sa fans
Kinalaunan sumuko ang suspek na kinilalang si Robert E Crimo III anyos,Kinalaunan sumuko ang suspek na kinilalang si Robert E Crimo III anyos
Apat ang nasawi at  iba pa ang sasaktan sa naturang stampede,Apat ang nasawi at  iba pa ang nasaktan sa naturang stampede
Pumunta ng GMA News ang motorista ngunit wala ito sa address na kanyang ibinigay,Pinuntahan ng GMA News ang motorista ngunit wala ito sa address na kanyang ibinigay
Ayon kay Gerrymie inakala siya noong una na inaatake lang siya ng high blood,Ayon kay Gerrymie inakala niya noong una na inaatake lang siya ng high blood
Dami rin kasing mga Pinoy abroad ang super fans ng Aegis huh,Dami rin kasing mga Pinoy abroad ang super fans ng Aegis huh
ipinangako na ibibigay ito noong Mayo  subalit hindi umano ito natupad ayon kay Basilio,Ipinangako na ibibigay ito noong Mayo  subalit hindi umano ito natupad ayon kay Basilio
Ang ganda nang explanation ng mga doctor ang pinakamahusay na bakuna yung available,Ang ganda ng explanation ng mga doctor ang pinakamahusay na bakuna yung available
Inilahad rin Jelai ang mga pagbabago sa kaniyang buhay nang maging kilalang vlogger,Inilahad din Jelai ang mga pagbabago sa kaniyang buhay nang maging kilalang vlogger
Ayon sa mga kapitbahay nadinig nila ang iniiyakan ng bata noong Lunes ng gabi,Ayon sa mga kapitbahay nadinig nila ang iyak ng bata noong Lunes ng gabi
Kagyat na may bisa ang memong ito sa limbag na petsa saitaas,Kagyat na may bisa ang memong ito sa limbag na petsa sa itaas
Siyempre binibigay ka ng advice kung hihingi ng advice sa yo di ba,Siyempre magbibigay ka ng advice kung hihingi ng advice sa yo di ba
Sa imbestigasyon papasukin sa mine site ang biktima bandang alas ng hapon noong Sabado,Sa imbestigasyon pumasok sa mine site ang biktima bandang alas ng hapon noong Sabado
Aniya lumayas ang anak matapos silang magkasagutan noong Huwebes ng gabi at hindi nanakabalik,Aniya lumayas ang anak matapos silang magkasagutan noong Huwebes ng gabi at hindi na nakabalik
Gayunpaman mapagpakumbabang nag sorry si Petecio dahil pilak lamang ang nakayanan nito,Gayunpaman mapagpakumbabang nagsorry si Petecio dahil pilak lamang ang nakayanan nito
Pumabor kay Saludar ang dalawang hurado na nagbigay ng  at  desisyon,Pumabor kay Saludar ang dalawang hurado na nagbigay ng  at  desisyon
Sa harap ng pangyayari nahanda na daw magparaya ang suspek sa babaeng mahal niyaFRJKBK,Sa harap ng pangyayari nahanda na raw magparaya ang suspek sa babaeng mahal niyaFRJKBK
Parang ang hirap bitawan lang ng mga ganu’ng memories dadagdagan pa ni Johua,Parang ang hirap bitawan lang ng mga ganu’ng memories dagdag pa ni Johua
Na magsagawa ng state visit upang mas mapalakas ang pagkakaibigan ng ng dalawang bansa,Na magsagawa ng state visit upang mas mapalakas ang pagkakaibigan ng dalawang bansa
Habang ang iba na kapos matutunan pa din natin ang magbahagi sambit ng senadora,Habang ang iba na kapos matutunan pa rin natin ang magbahagi sambit ng senadora
Anyway bago niya pumasok sa Batang Quiapo inasikaso niya ang kanyang health,Anyway bago siya pumasok sa Batang Quiapo inasikaso niya ang kanyang health
Pinaupo po nila ako roon tapos kumain lang kami kuwento ni Carren,Pinaupo po nila ako roon tapos kumain lang kami kuwento ni Carren
Marami na daw ang nagpapayo sa kaniya na huminto na sa paglaban,Marami na raw ang nagpapayo sa kaniya na huminto na sa paglaban
By  magiging aktibo muli SA showbiz si Ate Vi dahil plain citizen na siya,By  magiging aktibo muli sa showbiz si Ate Vi dahil plain citizen na siya
Mahirap sigurong magsabi ng isang pangalan when you sayultimate leading lady,Mahirap sigurong magsabi ng isang pangalan when you say ultimate leading lady
Pinagsabihan raw ng isa sa kanilang kasamahan si Gaviola na agad nitong ikinagalit,Pinagsabihan daw ng isa sa kanilang kasamahan si Gaviola na agad nitong ikinagalit
So hindi na kaya kailangang ikampanya ni Sue Ramirez si Javi,So hindi na kaya kailangang ikampanya ni Sue Ramirez si Javi
TUNGKOL kay Nicole mga four to  years ago ay nagkakasama kami nang mommy niya,Tungkol kay Nicole mga four to  years ago ay nagkakasama kami nang mommy niya
Nagustuhan kong machallenge kaya nagyes ako don sa Rey Valera” kwento ni RK,Gusto kong machallenge kaya nagyes ako don sa Rey Valera” kwento ni RK
Nagtatayo na lamang ang mamimili kung anong direksiyon ang ating tatahakin,Tayo na lamang ang mamimili kung anong direksiyon ang ating tatahakin
Naglakad sa ibabaw ng dagatsi Hesus para sundan ang Kaniyang mga alagad,Naglakad sa ibabaw ng dagat si Hesus para sundan ang Kaniyang mga alagad
dalawa po sila na babae paglalahad ng isang saksi sa pangyayari,Dalawa po sila na babae paglalahad ng isang saksi sa pangyayari
Sa ngayon wala pa daw balak ang lokal na pamahalaan na magdeklara ng outbreak,Sa ngayon wala pa raw balak ang lokal na pamahalaan na magdeklara ng outbreak
