Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Pormal na ihahayag ang mga pangalan ng tig-60 men at women golfers na maglalaro sa quadrennial event sa qualification deadline sa Hunyo 28.,Pormal na ihahayag ang mga pangalan ng tig-60 men at women golfers na maglalaro sa quadrennial event sa qualification deadline sa Hunyo 28.,Pormal na ihahayag ang mga pangalan ng tig-ag men at women holders na maglalaro sa credential event sa qualification deadline sa Hunyo ag.,"['60', 'golfers', 'quadrennial', '28']","{'60': ['ab', 'ad', 'ag', 'ah', 'ak'], 'golfers': ['folders', 'goers', 'holders', 'offers', 'ballers'], 'quadrennial': ['biennial', 'centennial', 'credential', 'denial', 'millennial'], '28': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Siguro nakakabawas din sa sadness mo yung parang may communication ka pa rin sa mga nawala mong kaibigan.,Siguro nakakabawas din sa sadness mo yung parang may communication ka pa rin sa mga nawala mong kaibigan.,Siguro nakakabawas din sa aassess mo yung parang may communication ka pa rin sa mga nawala mong kaibigan.,['sadness'],"{'sadness': ['adress', 'harness', 'aassess', 'access', 'address']}"
Magiging virtual home ng Calista itong Kumu at nakapagsimula na raw silang makipag-interact sa fans nila sa kanilang Kumustahan.,Magiging virtual home ng Calista itong Kumu at nakapagsimula na raw silang makipag-interact sa fans nila sa kanilang Kumustahan.,Magiging virtual home ng bahista itong kumo at nakapagsimula na raw silang makipag-interact sa fans nila sa kanilang Kumustahan.,"['Calista', 'Kumu']","{'Calista': ['palista', 'alisto', 'bahista', 'balisa', 'balita'], 'Kumu': ['kum', 'kumi', 'kumo', 'kumun', 'kuru']}"
Natumba ang biktima at ilang beses pa siyang tinadyakan sa ulo bago umalis ang salarin.,Natumba ang biktima at ilang beses pa siyang tinadyakan sa ulo bago umalis ang salarin.,Natumba ang biktima at ilang beses pa siyang tinadyakan sa ulo bago umalis ang salarin.,[],{}
"Ginagamit ng China ang ginawa ng Russia upang manghimasok sa Pilipinas at lantarang pananakot sa Taiwan, ayon kay Amber Quiban, ang co-convenor ng grupong Atin Ang Pinas.","Ginagamit ng China ang ginawa ng Russia upang manghimasok sa Pilipinas at lantarang pananakot sa Taiwan, ayon kay Amber Quiban, ang co-convenor ng grupong Atin Ang Pinas.","Ginagamit ng China ang ginawa ng bassic upang manghimasok sa Pilipinas at lantarang pananakot sa Taiwan, ayon kay alter diban, ang co-convenor ng grupong Atin Ang Pinas.","['Russia', 'Amber', 'Quiban']","{'Russia': ['bussa', 'rustika', 'bassic', 'buhia', 'bulsa'], 'Amber': ['adberb', 'after', 'alter', 'amba', 'ambag'], 'Quiban': ['aniban', 'buiwan', 'diban', 'gunban', 'igiban']}"
Pinuntahan nito ang simbahan pero wala roon ang mga lalaki sa video.,Pinuntahan nito ang simbahan pero wala roon ang mga lalaki sa video.,Pinuntahan nito ang simbahan pero wala roon ang mga lalaki sa video.,[],{}
Naniniwala pa rin sila na itinatago lang ng dating magka-loveteam ang kanilang tunay na relasyon.,Naniniwala pa rin sila na itinatago lang ng dating magka-loveteam ang kanilang tunay na relasyon.,Naniniwala pa rin sila na itinatago lang ng dating magka-overeat ang kanilang tunay na relasyon.,['loveteam'],"{'loveteam': ['livestream', 'longterm', 'overeat', 'oveseas', 'bonete']}"
"San ESTEBAN, Ilocos Sur, Philippines — Pisak ang isang rider matapos magulungan ng kakarera niyang trailer truck sa national highway ng Sitio Bigbiga, Brgy.","San ESTEBAN, Ilocos Sur, Philippines — Pisak ang isang rider matapos magulungan ng kakarera niyang trailer truck sa national highway ng Sitio Bigbiga, Brgy.","San astern, locks Sur, Philippines — Pisak ang isang rider matapos magulungan ng kakarera niyang trailer truck sa national highway ng Sitio bibigat, Brgy.","['ESTEBAN', 'Ilocos', 'Bigbiga']","{'ESTEBAN': ['estela', 'estelang', 'astern', 'beteran', 'eastern'], 'Ilocos': ['llocos', 'blocks', 'locks', 'lolos', 'aloob'], 'Bigbiga': ['bibig', 'bibigan', 'bibigat', 'bibigaw', 'bibigay']}"
"Ayon sa pulisya, minamaneho ni Maniebo ang isang Nmax motorcycle at nakaangkas ang kalive in at binabagtas ang barangay road nang salpukin ng hindi natukoy na uri ng sasakyan dakong alas-8:00 ng gabi.","Ayon sa pulisya, minamaneho ni Maniebo ang isang Nmax motorcycle at nakaangkas ang kalive in at binabagtas ang barangay road nang salpukin ng hindi natukoy na uri ng sasakyan dakong alas-8:00 ng gabi.","Ayon sa pulisya, minamaneho ni maneho ang isang ama motorcycle at nakaangkas ang kalive in at binabagtas ang barangay road nang salpukin ng hindi natukoy na uri ng sasakyan dakong alas-d:ag ng gabi.","['Maniebo', 'Nmax', '8', '00']","{'Maniebo': ['magniebe', 'mahibo', 'maneho', 'manigo', 'maniko'], 'Nmax': ['max', 'nman', 'ama', 'amag', 'amak'], '8': ['b', 'c', 'd', 'e', 'f'], '00': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Nagkakahalaga ng P70 kada araw ang meal allowance sa bawat PDL, mula sa P20 noong dekada 90.","Nagkakahalaga ng P70 kada araw ang meal allowance sa bawat PDL, mula sa P20 noong dekada 90.","Nagkakahalaga ng p25 kara araw ang meal allowance sa bawat aal, mula sa p3 noong dekada ag.","['P70', 'PDL', 'P20', '90']","{'P70': ['p75', 'p', 'p25', 'p3', 'p57'], 'PDL': ['pal', 'pdp', 'aal', 'ad', 'ada'], 'P20': ['p25', 'p', 'p3', 'p57', 'p75'], '90': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Para sa lahat ng nag aalala sakin.,Para sa lahat ng nag aalala sakin.,Para sa lahat ng nag aalala sakin.,[],{}
Kanina lang nang sabihin ni Press Secretary Trixie Cruz-Angeles na ayaw pa nilang magbigay ng komento patungkol sa panukala.,Kanina lang nang sabihin ni Press Secretary Trixie Cruz-Angeles na ayaw pa nilang magbigay ng komento patungkol sa panukala.,Kanina lang nang sabihin ni Press Secretary tribue Cruz-ages na ayaw pa nilang magbigay ng komento patungkol sa panukala.,"['Trixie', 'Angeles']","{'Trixie': ['triage', 'tribe', 'tribue', 'trike', 'triple'], 'Angeles': ['agecies', 'agents', 'ages', 'amperes', 'anakle']}"
