tokens,Original Sentence,Gold Sentence,Correction,Correct or Incorrect
14086,Kabilang na ang pakikipaghiwalay niya sa mister na si Aljur Abrenica at ang pag-akusa sa kanya na siya pa raw ang nangaliwa at nanira ng pamilya nila.,Kabilang na ang pakikipaghiwalay niya sa mister na si Aljur Abrenica at ang pag-akusa sa kanya na siya pa raw ang nangaliwa at nanira ng pamilya nila.,replace_raw,Correct
15231,"Ayon sa imbestigasyon ng pulisya, umagaw umano sa kabilang linya ang walang plaka na motorsiklo na minamaneho ni Urbano na naging dahilan para makipagsalpukan sa kasalubong na Isuzu MUX (NCG 7551) na minaneho naman ni Eligio Tabbu, 66, ng Bautista, Pangasinan, alas-8:00 ng gabi.","Ayon sa imbestigasyon ng pulisya, umagaw umano sa kabilang linya ang walang plaka na motorsiklo na minamaneho ni Urbano na naging dahilan para makipagsalpukan sa kasalubong na Isuzu MUX (NCG 7551) na minaneho naman ni Eligio Tabbu, 66, ng Bautista, Pangasinan, alas-8:00 ng gabi.",transform_verb_incobj,Correct
10112,"Bukod sa magpadala ng roses, kung sino yung magpapadala ng roses, ayan ang iga-grant ko kay Sanya, sabi ni Glaiza kay Sanya sa isang kanilang kuwentuhan sa Tiktok.","Bukod sa magpadala ng roses, kung sino yung magpapadala ng roses, ayan ang iga-grant ko kay Sanya, sabi ni Glaiza kay Sanya sa isang kanilang kuwentuhan sa Tiktok.",merge_hyphen,Correct
6741,Pero sana maiwasan na iyang mga boycott na sinasabi nila may epekto man o wala.,Pero sana maiwasan na iyang mga boycott na sinasabi nila may epekto man o wala.,delete,Correct
10839,"Sa kanilang pag-aaral, nadiskubre rin nila ang bagay na maaaring magamit sa non-opioid pain reliever at maging ang panibagong tool para sa pag-aaral sa central nervous system ng nasabing kuhol.","Sa kanilang pag-aaral, nadiskubre rin nila ang bagay na maaaring magamit sa non-opioid pain reliever at maging ang panibagong tool para sa pag-aaral sa central nervous system ng nasabing kuhol.",replace_nila,Correct
7639,"Kinilala ng pulisya ang suspek na si Emil Fernandez Mariano, 39, walang trabaho, at isang kilalang high-value individual.","Kinilala ng pulisya ang suspek na si Emil Fernandez Mariano, 39, walang trabaho, at isang kilalang high-value individual.",transform_verb_compobj,Correct
16071,"Sa tweet ni Comelec spokesperson James Jimenez, ipinakita niya si Go habang inaasikaso ng mga kawani ng Comelec.","Sa tweet ni Comelec spokesperson James Jimenez, ipinakita niya si Go habang inaasikaso ng mga kawani ng Comelec.",transform_split_hyphen,Correct
11694,Ang laki raw ng lugi ng mga producer sa ginanap na Metro Manila Summer Film Festival.,Ang laki raw ng lugi ng mga producer sa ginanap na Metro Manila Summer Film Festival.,replace_raw,Correct
3292,Si Almarinez ay consistent na No. 1 board member ng Laguna sa tatlong sunod-sunod na pagkakataon./.,Si Almarinez ay consistent na No. 1 board member ng Laguna sa tatlong sunod-sunod na pagkakataon./.,multiple_change_punc_period,Correct
4685,"Paglabas ng sasakyan ng dalawang babae, agad na binaril ng suspek ang asawa ng isa sa mga babae na nasa loob pa ng sasakayan. Sunod namang binaril ng salarin ang ng asawang babae.","Paglabas ng sasakyan ng dalawang babae, agad na binaril ng suspek ang asawa ng isa sa mga babae na nasa loob pa ng sasakayan. Sunod namang binaril ng salarin ang ng asawang babae.",multiple_change_punc_period,Correct
1354,"Napag-usapan naman with Dingdong, dagdag niyang pahayag.","Napag-usapan naman with Dingdong, dagdag niyang pahayag.",merge_hyphen,Correct
15661,"Sabi ko, Wala. Walang kaso, napapangiting pahayag ni Ian, at nagsu-sorry naman si Mon.","Sabi ko, Wala. Walang kaso, napapangiting pahayag ni Ian, at nagsu-sorry naman si Mon.",multiple_capital,Correct
6668,Bumaba ang angkas at lumapit ng tindahan at walang sabi-sabing pinagbabaril ang biktima.,Bumaba ang angkas at lumapit ng tindahan at walang sabi-sabing pinagbabaril ang biktima.,change_punc_period,Correct
15383,"Sa ngayon, naka-isolate ang mga kamag-anak ng sanggol at isasailalim sila sa swab test.--FRJ.","Sa ngayon, naka-isolate ang mga kamag-anak ng sanggol at isasailalim sila sa swab test.--FRJ.",replace_sila,Correct
15214,"Hindi naman inasahan ni Jackielyn na kinabukasan matapos niyang mag-post, may mga nagpadala ng dog food at cash donation.","Hindi naman inasahan ni Jackielyn na kinabukasan matapos niyang mag-post, may mga nagpadala ng dog food at cash donation.",delete,Correct
20716,Magtatagal ang mga pag-ulan hanggang Biyernes.,Magtatagal ang mga pag-ulan hanggang Biyernes.,transform_insert_hyphen,Correct
10738,"Samantala, sa ipinadalang mensahe ng pamilya ng biktima, sinabing magbibigay na lang sila ng pahayag kapag may bago nang impormasyon tungkol sa nangyari.--FRJ.","Samantala, sa ipinadalang mensahe ng pamilya ng biktima, sinabing magbibigay na lang sila ng pahayag kapag may bago nang impormasyon tungkol sa nangyari.--FRJ.",transform_verb_contact,Correct
16091,"2019, nagpumilit siya patunayan sa sarili niya, 'Kung guilty ako, magtatago ako eh. Hindi ako guilty.' Ang sabi, illegal activities. Ang akin lang, tinanong namin, illegal activities, anong klase? Hindi nila kami binigyan ng detalye, anang asawa ni Fabro.","2019, nagpumilit siya patunayan sa sarili niya, 'Kung guilty ako, magtatago ako eh. Hindi ako guilty.' Ang sabi, illegal activities. Ang akin lang, tinanong namin, illegal activities, anong klase? Hindi nila kami binigyan ng detalye, anang asawa ni Fabro.",multiple_change_punc_qmark,Correct
21941,"Agad na dinala sa pagamutan ang biktima, subalit hindi na ito naisalba pa habang ang suspek ay naaresto, ala-1:30 ng hapon.","Agad na dinala sa pagamutan ang biktima, subalit hindi na ito naisalba pa habang ang suspek ay naaresto, ala-1:30 ng hapon.",transform_split_hyphen,Correct
5055,"Sinusubukan pang makuha ang pahayag ng pamilya ng biktima at ng rider, ayon sa ulat.--.","Sinusubukan pang makuha ang pahayag ng pamilya ng biktima at ng rider, ayon sa ulat.--.",transform_verb_incobj,Correct
12311,Mali ang sinasabing baguhan si Marco sa Kamuning.,Mali ang sinasabing baguhan si Marco sa Kamuning.,merge_space,Correct
1225,"Una nang naiulat na maraming namatay buhat ng mga baha, landslides, atbp.","Una nang naiulat na maraming namatay buhat ng mga baha, landslides, atbp.",transform_verb_compact,Correct
1289,"Bongga rin ang production budget ng Coco-Jodi movie dahil full production sila rito, huh!","Bongga rin ang production budget ng Coco-Jodi movie dahil full production sila rito, huh!",change_punc_emark,Correct
13755,Bongga dahil parehong very happy ang private life ng dalawa.,Bongga dahil parehong very happy ang private life ng dalawa.,transform_split_space,Correct
4961,"Bukod sa pagiging pangunahing bida ay si Coco Martin din ang isa sa mga direktor at producer ng FPJs Batang Quiapo. Nagsimula ang pagiging producer at director ni Coco sa pelikulang Ang Panday na isa sa mga kalahok sa Metro Manila Film Festival noong 2017. “Sabi ko noon sa sarili ko, gusto kong mag-direct. Kasi hindi ako nag-aral, wala akong alam sa lente. About sa technicalities mahina ako. Sabi sa akin ng mga kaibigan ko sa production, ‘Hindi importante kung alam mo ang lente, ang importante marunong kang magkwento. Alam mo kung paano dadalhin ang kwento mo.’ Sabi ko, tutal gusto ko mag-direct, di ako na rin ang mag-produce. Nilakasan ko na loob ko, kinapalan ko na mukha ko. Ako na nag-produce ng first movie ko, Panday. Nagtuluy-tuloy na, nag-Ang Probinsyano na ako,” pagdedetalye ni Coco.","Bukod sa pagiging pangunahing bida ay si Coco Martin din ang isa sa mga direktor at producer ng FPJs Batang Quiapo. Nagsimula ang pagiging producer at director ni Coco sa pelikulang Ang Panday na isa sa mga kalahok sa Metro Manila Film Festival noong 2017. “Sabi ko noon sa sarili ko, gusto kong mag-direct. Kasi hindi ako nag-aral, wala akong alam sa lente. About sa technicalities mahina ako. Sabi sa akin ng mga kaibigan ko sa production, ‘Hindi importante kung alam mo ang lente, ang importante marunong kang magkwento. Alam mo kung paano dadalhin ang kwento mo.’ Sabi ko, tutal gusto ko mag-direct, di ako na rin ang mag-produce. Nilakasan ko na loob ko, kinapalan ko na mukha ko. Ako na nag-produce ng first movie ko, Panday. Nagtuluy-tuloy na, nag-Ang Probinsyano na ako,” pagdedetalye ni Coco.",multiple_add_punc_period,Correct
