Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Kasalukuyang lumaban si Donaire sa bantamweight division,Kasalukuyang lumalaban si Donaire sa bantamweight division,,,
Ta pos nafeel ko na ‘Ay,Tapos nafeel ko na ‘Ay,,,
mula Enero hanggang Hulyo ngayong taon ,Mula Enero hanggang Hulyo ngayong taon ,,,
Nakatatanggap na rin niya ng mga endorsement,Nakatatanggap na rin siya ng mga endorsement,,,
Nawawala pa ang puso ni ni Carla Abellana,Nawawala pa ang puso ni Carla Abellana,,,
Pumangatlo ang Thailand namay  marka,Pumangatlo ang Thailand na may  marka,,,
Iilanlang silang nandun sa ituktok,Iilan lang silang nandun sa ituktok,,,
Para silang mga timang,Para silang mga timang,kami ang timang,[],"[{'token': 'CCT', 'suggestions': ['SUBSTITUTE_CCT_PRP'], 'distances': [1]}, {'token': 'PRP_CCP', 'suggestions': ['SUBSTITUTE_PRP_CCP_DTC'], 'distances': [1]}, {'token': 'DTCP', 'suggestions': ['DELETE_DTCP'], 'distances': [1]}, {'token': 'NNC_CCP', 'suggestions': ['KEEP_NNC_CCP_NNC_CCP'], 'distances': [1]}]"
Sirena talaga ito,Sirena talaga ito,na tulad ito,[],"[{'token': 'JJCC', 'suggestions': ['SUBSTITUTE_JJCC_NNC_CCP'], 'distances': [2.2]}, {'token': 'RBT', 'suggestions': ['SUBSTITUTE_RBT_JJC'], 'distances': [2.2]}, {'token': 'PRO', 'suggestions': ['KEEP_PRO_PRO'], 'distances': [2.2]}]"
hindi ko siya naisip ulit pa niya,Hindi ko siya naisip ulit pa niya,hindi ko naisip ulit pa niya,[],"[{'token': 'RBF', 'suggestions': ['KEEP_RBF_RBF', 'KEEP_RBF_RBF', 'KEEP_RBF_RBF'], 'distances': [1.2, 2.4, 3.5999999999999996]}, {'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'SUBSTITUTE_PRS_LM', 'KEEP_PRS_PRS', 'SUBSTITUTE_PRS_CCA', 'KEEP_PRS_PRS'], 'distances': [1.2, 3.4000000000000004, 2.4, 4.6000000000000005, 3.5999999999999996]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS', 'DELETE_PRS', 'SUBSTITUTE_PRS_CCA', 'DELETE_PRS', 'DELETE_PRS', 'DELETE_PRS'], 'distances': [1.2, 3.4000000000000004, 3.4000000000000004, 2.4, 4.6000000000000005, 3.5999999999999996]}, {'token': 'VBTS', 'suggestions': ['KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS'], 'distances': [1.2, 3.4000000000000004, 3.4000000000000004, 2.4, 4.6000000000000005, 3.5999999999999996]}, {'token': 'RBW', 'suggestions': ['KEEP_RBW_RBW', 'KEEP_RBW_RBW', 'DELETE_RBW', 'KEEP_RBW_RBW', 'DELETE_RBW', 'KEEP_RBW_RBW'], 'distances': [1.2, 3.4000000000000004, 3.4000000000000004, 2.4, 4.6000000000000005, 3.5999999999999996]}, {'token': 'RBI', 'suggestions': ['KEEP_RBI_RBI', 'KEEP_RBI_RBI', 'DELETE_RBI', 'KEEP_RBI_RBI', 'DELETE_RBI'], 'distances': [3.4000000000000004, 3.4000000000000004, 2.4, 4.6000000000000005, 3.5999999999999996]}, {'token': 'PRS', 'suggestions': ['KEEP_PRS_PRS', 'KEEP_PRS_PRS', 'DELETE_PRS'], 'distances': [3.4000000000000004, 4.6000000000000005, 3.5999999999999996]}]"
Sa kabila nito hindi siya tatalikuran ang kaniyang kapatid,Sa kabila nito hindi niya tatalikuran ang kaniyang kapatid,,,
Hindi mo nakakakita ang kalabang virus,Hindi mo nakikita ang kalabang virus,Hindi nakakakita ang kalaban,[],"[{'token': 'RBF', 'suggestions': ['KEEP_RBF_RBF', 'KEEP_RBF_RBF'], 'distances': [1.2, 2.4]}, {'token': 'PRS', 'suggestions': ['DELETE_PRS', 'SUBSTITUTE_PRS_DTC', 'DELETE_PRS'], 'distances': [1.2, 2, 2.4]}, {'token': 'VBTR', 'suggestions': ['KEEP_VBTR_VBTR', 'SUBSTITUTE_VBTR_NNC_CCP', 'KEEP_VBTR_VBTR'], 'distances': [1.2, 2, 2.4]}, {'token': 'DTC', 'suggestions': ['KEEP_DTC_DTC', 'SUBSTITUTE_DTC_FW', 'KEEP_DTC_DTC'], 'distances': [1.2, 2, 2.4]}, {'token': 'NNC_CCP', 'suggestions': ['SUBSTITUTE_NNC_CCP_NNC', 'DELETE_NNC_CCP', 'SUBSTITUTE_NNC_CCP_NNC'], 'distances': [1.2, 2, 2.4]}, {'token': 'FW', 'suggestions': ['DELETE_FW', 'DELETE_FW'], 'distances': [2, 2.4]}]"
i think stamina din yung labanan,I think stamina rin yung labanan,na Aeta think stamina,[],"[{'token': 'NNCA', 'suggestions': ['SUBSTITUTE_NNCA_JJD_CCP', 'SUBSTITUTE_NNCA_JJD_CCP'], 'distances': [3.4000000000000004, 4.6000000000000005]}, {'token': 'NNC', 'suggestions': ['INSERT_NNC'], 'distances': [0.8]}, {'token': 'FW', 'suggestions': ['KEEP_FW_FW', 'KEEP_FW_FW', 'KEEP_FW_FW'], 'distances': [3.4000000000000004, 4.6000000000000005, 4.6000000000000005]}, {'token': 'FW', 'suggestions': ['KEEP_FW_FW', 'SUBSTITUTE_FW_NNC', 'KEEP_FW_FW'], 'distances': [3.4000000000000004, 4.6000000000000005, 4.6000000000000005]}, {'token': 'RBI', 'suggestions': ['DELETE_RBI', 'DELETE_RBI', 'DELETE_RBI'], 'distances': [3.4000000000000004, 4.6000000000000005, 4.6000000000000005]}, {'token': 'PRO', 'suggestions': ['DELETE_PRO', 'DELETE_PRO', 'DELETE_PRO'], 'distances': [3.4000000000000004, 4.6000000000000005, 4.6000000000000005]}, {'token': 'NNC', 'suggestions': ['DELETE_NNC', 'DELETE_NNC'], 'distances': [4.6000000000000005, 4.6000000000000005]}]"
Nauna dito inihayag ni Dr,Nauna rito inihayag ni Dr,ay Nauna - to ni Don,[],"[{'token': 'LM', 'suggestions': ['INSERT_LM'], 'distances': [0.8]}, {'token': 'VBTS', 'suggestions': ['KEEP_VBTS_VBTS', 'KEEP_VBTS_VBTS', 'SUBSTITUTE_VBTS_PMS'], 'distances': [3.4000000000000004, 4.6000000000000005, 3.2]}, {'token': 'RBF', 'suggestions': ['DELETE_RBF', 'SUBSTITUTE_RBF_CCR', 'DELETE_RBF', 'DELETE_RBF', 'SUBSTITUTE_RBF_FW'], 'distances': [3.4000000000000004, 3.4000000000000004, 4.6000000000000005, 2.2, 3.2]}, {'token': 'PMS', 'suggestions': ['KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'KEEP_PMS_PMS', 'SUBSTITUTE_PMS_DTP'], 'distances': [3.4000000000000004, 3.4000000000000004, 1.2, 4.6000000000000005, 2.2, 3.2]}, {'token': 'FW', 'suggestions': ['KEEP_FW_FW', 'DELETE_FW', 'KEEP_FW_FW', 'KEEP_FW_FW', 'KEEP_FW_FW', 'SUBSTITUTE_FW_NNP'], 'distances': [3.4000000000000004, 3.4000000000000004, 1.2, 4.6000000000000005, 2.2, 3.2]}, {'token': 'VBTS', 'suggestions': ['DELETE_VBTS', 'KEEP_VBTS_VBTS', 'DELETE_VBTS', 'DELETE_VBTS', 'DELETE_VBTS', 'DELETE_VBTS'], 'distances': [3.4000000000000004, 3.4000000000000004, 1.2, 4.6000000000000005, 2.2, 3.2]}, {'token': 'DTP', 'suggestions': ['KEEP_DTP_DTP', 'KEEP_DTP_DTP', 'DELETE_DTP', 'KEEP_DTP_DTP', 'DELETE_DTP'], 'distances': [3.4000000000000004, 1.2, 4.6000000000000005, 2.2, 3.2]}, {'token': 'NNPA', 'suggestions': ['SUBSTITUTE_NNPA_NNP', 'SUBSTITUTE_NNPA_NNP', 'DELETE_NNPA'], 'distances': [1.2, 2.2, 3.2]}]"
